Name,Total Score,Process Method,Cultivar,Farm_Gate,Uniformity,Fragrance,Wet Aroma,Brightness,Flavor,Body_1,Finish,Sweetness,Clean Cup,Complexity,Berry,Floral,Sugars,Caramel,Citrus,Nuts,Rustic,Spice,Honey,Body_2,Region,Drying Method,Roast Recommendations,Website,instock
Guatemala Antigua Hunapu Dueñas,87,Wet Process (Washed),Bourbon Types,Yes,9,8.5,8.7,8.5,8.6,8.8,8.5,8.6,8.5,8.3,0,0,3.5,2,0,0,0,0,0,4,"Hunapu, Volcan de Agua, Antigua",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-antigua-hunapu-duenas-7602.html,0
Guatemala Antigua La Folie,87.2,Wet Process (Washed),Bourbon Types,Yes,9,8.5,8.7,8.6,8.7,8.7,9,8.5,9,8.5,0,0,3,1.5,1.5,1,0,1,0,3.5,Antigua,Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/guatemala-antigua-la-folie-7600.html,0
Guatemala Antigua La Parcela Melanie,88,Wet Process (Washed),Bourbon Types,Yes,8.7,8.7,8.8,8.7,8.8,8.8,8.6,8.7,9,8.7,1,0,3,1.5,0,0,0,0,3,4,Antigua,Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/guatemala-antigua-la-parcela-melanie-7658.html,0
Guatemala Antigua Pavón Farm,86.7,Wet Process (Washed),Bourbon Types,Yes,9,8.3,8.6,8.3,8.5,8.8,8.5,8.5,9,8.2,0,0,3,2,0,1.5,0,1,0,4,Antigua,Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-antigua-pavon-farm-7603.html,0
Guatemala Antigua Pulcal Inteligente,88.4,Wet Process (Washed),"Bourbon Types, Typica Types",Yes,9,8.5,8.8,8.5,8.7,8.8,8.6,8.8,9,8.7,0.5,0,3.5,1,1,0.5,0,0,3,4,Antigua,Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/guatemala-antigua-pulcal-inteligente-7660.html,0
Guatemala Aurelio del Cerro,87.1,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,9,8.3,8.6,8.4,8.6,9.3,8.5,8.7,8.5,8.7,1,0,3.5,2.5,0,0,0,1,0,4.5,"El Injerto, Huehuetenango",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-aurelio-del-cerro-7580.html,0
Guatemala Chimaltenango Tecpán,87,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,8.5,8.3,8.5,8.7,8.7,8.8,8.4,8.5,8.5,8.6,0,0,3,3,1.5,2,0,0,0,3.5,"Tecpán, Chimaltenango",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-chimaltenango-tecpan-7667.html,0
Guatemala Finca Rosma Maragogype,88.7,Wet Process (Washed),Typica Types,Yes,9,8.7,8.8,8.6,8.9,8.5,8.7,8.8,9,8.7,0,0,3.5,3,2,0,0,2,2,3.5,"Michicoy, San Pedro Necta",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/guatemala-finca-rosma-maragogype-7794.html,0
Guatemala Michicoy Finca Rosma,88.6,Wet Process (Washed),"Caturra Types, Bourbon Types, Modern Hybrids",Yes,8.5,8.8,8.8,8.6,9,9,8.7,8.9,9,8.8,2,0,4,2,0,0,0,1,0,4,"Michicoy, San Pedro Necta, Huehuetenango",Covered Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-michicoy-finca-rosma-7582.html,0
Guatemala Michicoy Finca Rosma Lot 2,88.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,8.5,8.7,8.8,8.6,9,9,8.7,8.9,9,8.8,1.5,0,3.5,2,0,0,0,1.5,0,4,"Michicoy, San Pedro Necta, Huehuetenango",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-michicoy-finca-rosma-lot-2-7655.html,0
Guatemala Patzun Finca Las Camelias,86.6,Wet Process (Washed),"Bourbon Types, Typica Types, Modern Hybrids",Yes,8.2,8.3,8.5,8.3,8.5,8.8,8.3,8.5,8.5,8.2,0,0,2.5,3,0,2,0,1,1,4,"Patzún, Chimaltenango",Raised Bed Sun Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-patzun-finca-las-camelias-7657.html,0
Guatemala Patzún Finca La Florida,87.1,Wet Process (Washed),Bourbon Types,Yes,9,8.5,8.6,8.5,8.6,9,8.5,8.4,8.5,8.5,0,0,3.5,2,1,2,0,1,0,4,"Chuacanun, Patzún, Chimaltenango",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-patzun-finca-la-florida-7672.html,0
Guatemala Proyecto Xinabajul Axel Villatoro,87.2,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,9,8.4,8.5,8.4,8.5,8.7,8.5,8.7,8.5,8,0,0,3,3.5,0,2,0,0,0,3.5,"Bojonalito, La Libertad, Huehuetenango",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-proyecto-xinabajul-axel-villatoro-7648.html,0
Guatemala San Diego Buena Vista Java,88.3,Wet Process (Washed),Heirloom Types,Yes,9,8.6,8.7,8.6,8.7,8.2,8.8,9,9,8.7,0,1,4,0,1,0,0,2,2,3,Acatenango,Patio Sun-Dried,City to City+,https://www.sweetmarias.com/guatemala-san-diego-buena-vista-java-7671.html,0
Guatemala San Martin Jilotepeque,86.9,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,8.5,8.5,8.6,8.2,8.5,9,8.4,8.5,8.5,8.2,0,0,3,2.5,0,1.5,0,0.5,0,4,"San Martin Jilotepeque, Chimaltenango",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-san-martin-jilotepeque-7668.html,0
Guatemala Xinabajul Anturlio Ruiz,87.8,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,9,8.6,8.7,8.7,8.7,8.2,8.6,8.7,9,8.6,0,0,3.5,0,1,0,0,1.5,0,3,"San Pedro Necta, Huehuetenango",Patio Sun-Dried,City to City+,https://www.sweetmarias.com/guatemala-xinabajul-anturlio-ruiz-7577.html,0
Guatemala Xinabajul La Palmira,86.6,Wet Process (Washed),"Bourbon Types, Typica Types, Modern Hybrids",Yes,9,8.3,8.5,8,8.5,9,8.3,8.5,8.5,8,0,0,3,3,0,2,0,0,0,4,"Palmira, La Libertad",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-la-palmira-7647.html,0
Guatemala Xinabajul Los Chuchitos,87,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,8.5,8.4,8.5,8.4,8.5,9,8.4,8.5,8.5,8.3,0,0,3,2,1,1.5,0,1,0,4,Huehuetenango,Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-los-chuchitos-7573.html,0
Guatemala Xinabajul Producers,87.1,Wet Process (Washed),"Bourbon Types, Typica Types, Modern Hybrids",Yes,9,8.4,8.6,8.4,8.5,8.8,8.4,8.5,8.5,8,0,0,3,2,0,1.5,0,0,1,4,Huehuetenango,Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-producers-7575.html,0
Honduras Dry Process Sabillon Parainema,88.2,Dry Process (Natural),Modern Hybrids,Yes,8,8.5,8.9,8,8.8,9.3,8,8.5,7.7,9.5,2,0,4,0,0,0,2.5,2,2,4,"Las Flores, Santa Barbara",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/honduras-dry-process-sabillon-parainema-7800.html,0
Honduras Finca Zancudal Pacas,88.1,Wet Process (Washed),Bourbon Types,Yes,9,8.5,8.7,8.7,8.7,8.5,8.5,8.5,9,8.5,1,0,3,2,2,1.5,0,1.5,0,3.5,"El Sauce, Santa Barbara",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/honduras-finca-zancudal-pacas-7799.html,0
Honduras FTO Ocotepeque Cocasam Coop,86.6,Wet Process (Washed),"Caturra Types, Bourbon Types, Modern Hybrids",No,9,8.3,8.5,8.6,8.5,8.2,8.4,8.3,8.5,7.8,0,0,2.5,2.5,0,2,0,0,0,3,"San Marcos, Ocotepeque",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/honduras-fto-ocotepeque-cocasam-coop-7597.html,0
Honduras Honey Process Carlos Umberto,86.6,Honey Process,Bourbon Types,Yes,9,8.3,8.5,8.2,8.4,8.7,8.3,8.5,8.5,8.2,0,0,3,3.5,0,2,0,0,0,3.5,"San Luis Planes, Santa Barbara",Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/honduras-honey-process-carlos-umberto-7803.html,0
Honduras Honey Process Comunidad Cabañas,87.8,Honey Process,"Caturra Types, Modern Hybrids",Yes,8.2,8.5,8.7,8.4,8.7,9.3,8.5,8.6,8.5,8.9,2,0,3.5,1,1.5,0,0.5,0,2,4.5,"Cabañas, La Paz",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/honduras-honey-process-comunidad-cabanas-7806.html,0
Honduras La Peña Denilson Madrid Pacas,86.5,Wet Processed (Washed),Bourbon Types,No,9,8.3,8.5,8.3,8.5,9,8.2,8.5,8.2,8,0,0,3,2,0,1,0.5,0,0,4,"Las Flores, Santa Barbara",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/honduras-la-pena-denilson-madrid-pacas-7462.html,0
Honduras La Peña Denilson Madrid Parainema,87.8,Wet Process (Washed),Modern Hybrids,No,9,8.7,8.8,8.8,8.8,8.5,8.7,8.7,8.5,8.8,0,0,3.5,2,2,0,0,2,2,3.5,"Las Flores, Santa Barbara",Patio Sun-Dried,City to City+,https://www.sweetmarias.com/honduras-la-pena-denilson-madrid-parainema-7461.html,0
Honduras Los Andes Doña Teodosa Parainema,88.2,Wet Process (Washed),Modern Hybrids,Yes,8.5,8.6,8.7,8.6,8.8,8.7,8.7,8.8,9,8.8,0,0.5,3.5,1,2,0,0,2,3,3.5,"Los Andes, Las Vegas, Santa Barbara",Covered Sun-Dried,City to City+,https://www.sweetmarias.com/honduras-los-andes-dona-teodosa-parainema-7805.html,0
Honduras San Vicente Comunidad Cabañas,86.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Modern Hybrids",No,8.5,8.3,8.5,8.2,8.5,8.7,8.3,8.5,8.5,8.5,0,0,3,1,0,2,0,1,0,3.5,"Los Planes, Cabañas, La Paz",Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/honduras-san-vicente-comunidad-cabanas-7463.html,0
Honduras San Vicente Parainema,87.5,Wet Process (Washed),Modern Hybrids,No,9,8.5,8.6,8.3,8.7,9,8.5,8.9,9,8.5,0,1,4,2,1,0,0,1,0,4,Santa Barbara,Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/honduras-san-vicente-parainema-7605.html,0
Mexico Chiapas Sierra Mariscal,86.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",No,8.5,8.3,8.5,8.4,8.5,8.8,8.4,8.4,8.5,8.2,0,0,3,2,0,2,0,1.5,0,4,"Motozintla, Chiapas, Mexico",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/mexico-chiapas-sierra-mariscal-7546.html,0
Mexico Organic Chiapas San Cristobal,86.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",No,8.5,8.2,8.5,8.3,8.3,8.9,7.9,8.4,8,8,0,0,3,2,0,2.5,1,1,0,4,"San Cristobal de las Casas, Tenejapa",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/mexico-organic-chiapas-san-cristobal-7764.html,0
Mexico Organic Lagunilla Coop,86.8,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types",No,8.5,8.4,8.7,8.4,8.6,8.8,8.4,8.5,8.5,8.5,0,0,3.5,1.5,0,2,0,1,2,3.5,"Ixtlan de Juarez, Oaxaca",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/mexico-organic-lagunilla-coop-6875.html,0
Mexico Organic Tenejapa Valle de Jovel,86.5,Wet Process (Washed),"Caturra Types, Typica Types, Modern Hybrids",No,9,8.3,8.5,8.3,8.5,8.6,8.4,8.2,8.5,8.2,0,0,2.5,1.5,0,0,0,0,0,3.5,"San Cristobal de las Casas, Tenejapa",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/mexico-organic-tenejapa-valle-de-jovel-7545.html,0
Nicaragua Acopio Suyatal,86,Wet Process (Washed),Caturra Types,No,8.5,8.5,8.5,8.2,8.5,8.8,8.3,8.3,8.4,8,0,0,2.5,2,0,2,0,0,0,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/nicaragua-acopio-suyatal-7418.html,0
Nicaragua Acopio Suyatal,86.7,Wet Process (Washed),Caturra Types,Yes,9,8.3,8.5,8.3,8.5,8.5,8.3,8.3,8.5,8,0,0,2,3,0,1.5,0,0,0,3.5,"Dipilto, Nueva Segovia",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/nicaragua-acopio-suyatal-7675.html,0
Nicaragua Buenos Aires Los Pinos,86.1,Wet Process (Washed),Caturra Types,Yes,8.5,8.2,8.5,8,8.5,8.8,8.3,8.3,8.5,7.5,0,0,2.5,2,0,2,0,1,0,3.5,"Dipilto, Nueva Segovia",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-buenos-aires-los-pinos-7406.html,0
Nicaragua Buenos Aires Los Pinos,86,Wet Process (Washed),Caturra Types,Yes,9,8.2,8.4,7.5,8.3,9,8.2,8.3,8.3,7.8,0,0,2.5,2,0,2.5,0.5,0,0,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-buenos-aires-los-pinos-7673.html,0
Nicaragua Buenos Aires Maracaturra,87,Wet Process (Washed),Modern Hybrids,Yes,8.5,8.5,8.7,8.6,8.6,8.4,8.3,8.6,8.2,8.6,0,0,3,3,1,0,1,1.5,2,3.5,"Dipilto, Nueva Segovia",Raised Bed Sun-Dried,City+ to Full City,https://www.sweetmarias.com/nicaragua-buenos-aires-maracaturra-7412.html,0
Nicaragua Buenos Aires San Salvador,86.3,Wet Process (Washed),Caturra Types,Yes,9,8.3,8.3,8.3,8.3,9,8.1,8.2,8,7.8,0,0,2.5,2,0,2,2.5,0,0,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-buenos-aires-san-salvador-7404.html,0
Nicaragua Dipilto San Salvador Java,86.7,Wet Process (Washed),Heirloom Types,Yes,8.5,8.3,8.5,8.5,8.5,8.7,8,8.5,8,8.7,0,0,2.5,3,1,0.5,1.5,2,0,3.5,"Dipilto, Nueva Segovia",Raised Bed Sun-Dried,City+ to Full City,https://www.sweetmarias.com/nicaragua-dipilto-san-salvador-java-7411.html,0
Nicaragua Dipilto Tres Procesos Java,88.3,"Wet Process, Dry Process, and Honey Process blend",Heirloom Types,Yes,9,8.8,9,8.6,9,8.7,8.5,8.7,8,9,0,1,3,0,0,0,0.5,2.5,0,3.5,"Dipilto, Nueva Segovia",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/nicaragua-dipilto-tres-procesos-java-7681.html,0
Nicaragua Dry Process Buenos Aires,88.3,Dry Process (Natural),Caturra Types,Yes,8.2,8.5,8.8,8.3,8.9,9,8.2,8.7,8,9.2,3,0,3,0,2,0,2,2.5,0,4,"Dipilto, Nueva Segovia",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/nicaragua-dry-process-buenos-aires-7416.html,0
Nicaragua Dry Process Buenos Aires,88.7,Dry Process (Natural),Caturra Types,Yes,8.2,8.6,8.8,8.5,9.2,9.5,8.5,8.8,8.4,9.2,3,0,3.5,0,2,0,1,0,0,4,"Dipilto, Nueva Segovia",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/nicaragua-dry-process-buenos-aires-7680.html,0
Nicaragua Dry Process Maracaturra,88.5,Dry Process (Natural),Modern Hybrids,Yes,9,8.8,8.9,7.7,9,9,8.8,8.8,8.2,9.3,3,0,3,0,0,0,1,0,0,4,"Dipilto, Nueva Segovia",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/nicaragua-dry-process-maracaturra-7685.html,0
Nicaragua Finca Buenos Aires,87.2,Wet Process (Washed),Caturra Types,Yes,8.5,8.4,8.5,8.3,8.5,9,8.4,8.4,8.5,8.2,1,0,3,2,0,0,0,1,2,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/nicaragua-finca-buenos-aires-7677.html,0
Nicaragua Finca Buenos Aires Lot 2,86,Wet Process (Washed),Caturra Types,Yes,8.5,8.3,8.5,8.2,8.4,8.8,8.3,8.3,8.2,7.5,0,0,2.5,2.5,0,1,0.5,0,0,3.5,"Dipilto, Nueva Segovia",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-finca-buenos-aires-lot-2-7403.html,0
Nicaragua Finca El Lino,86,Wet Process (Washed),Caturra Types,Yes,8.5,8,8.3,8,8.2,9.2,8,8,7.8,8,0,0,2.5,1.5,0,1,2,0,0,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,Full City to French,https://www.sweetmarias.com/nicaragua-finca-el-lino-7407.html,0
Nicaragua Honey Process Maracaturra,88.6,Honey Process,Heirloom Types,Yes,8.5,8.7,8.9,8.7,9.1,8.8,8.5,8.7,8.5,9.2,1,1,3,0,2,0,0,2,3,4,"Dipilto, Nueva Segovia",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/nicaragua-honey-process-maracaturra-7684.html,0
Nicaragua Honey Process San Salvador Java,87,Honey Process,Heirloom Types,Yes,9,8.3,8.7,8.2,8.5,9,8,8.5,7.8,9,2,0,3,1,1,1,2.5,0,2,4.5,"Dipilto, Nueva Segovia",Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-honey-process-san-salvador-java-7415.html,0
Nicaragua Los Alpes Caturra,87,Wet Process (Washed),Caturra Types,Yes,9,8.3,8.5,8.4,8.5,9,8.2,8.5,8.4,8.2,0,0,2,3.5,0.5,2,0,0,0,4,"Dipilto, Nueva Segovia",Raised Bed Sun Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-los-alpes-caturra-7678.html,0
Nicaragua Los Altiplanos Java Cultivar,87.8,Wet Process (Washed),Heirloom Types,Yes,9,8.7,8.8,8.5,8.7,8.5,8.7,8.6,8.5,8.8,0,1,3,1,0,0,0,3,2,3.5,Jinotega,Patio Sun-Dried,City to City+,https://www.sweetmarias.com/nicaragua-los-altiplanos-java-cultivar-7356.html,0
Nicaragua Maracaturra Los Medios,87.7,Wet Process (Washed),Modern Hybrids,Yes,8.3,8.7,8.8,8.3,8.9,9,8.7,8.7,8.5,8.8,0,0,3.5,2,0,1.5,0,0,0,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/nicaragua-maracaturra-los-medios-7413.html,0
Nicaragua Maracaturra Los Medios,88,Wet Process (Washed),Modern Hybrids,Yes,8.5,8.5,9,8.7,8.7,8.5,8.6,8.8,8.5,8.7,0,0,3.5,2,0,1.5,0,1,0,3.5,"Dipilto, Nueva Segovia",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/nicaragua-maracaturra-los-medios-7682.html,0
Nicaragua Ojo de Agua,86.5,Mechanically Washed,Caturra Types,Yes,8.5,8.2,8.4,8,8.3,9,8.3,8.3,8.5,8,0,0,2.5,2,0,1.5,0,0,0,4,"Dipilto, Nueva Segovia",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/nicaragua-ojo-de-agua-7676.html,0
Panama Paso Ancho Carmen Estate,86.5,Mechanically Washed,"Caturra Types, Typica Types",No,9,8.4,8.5,8.4,8.5,8.5,8.4,8.5,8.5,7.8,0,0,2.5,3,0,2,0,0,0,3.5,"Paso Ancho, Boquete",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/panama-paso-ancho-carmen-estate-7448.html,0
Panama Paso Ancho Carmen Estate,87,Wet Process (Washed),"Caturra Types, Typica Types",No,9,8.3,8.5,8.4,8.5,8.6,8.5,8.5,8.7,8.5,0,0,3,2,0,2,0,0,2.5,3.5,"Paso Ancho, Boquete, Chiriquí",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/panama-paso-ancho-carmen-estate-7720.html,0
Colombia Organic Alianza Granjeros,87,Wet Process (Washed),"Caturra Types, Typica Types, Modern Hybrids",No,8.5,8.5,8.6,8.3,8.7,9,8.2,8.5,8.5,8.7,0,0,3,2,1,0,0,0,2,4,"Buesaco, Nariño, Cauca",Covered Sun-Dried,City to Full City+,https://www.sweetmarias.com/colombia-organic-alianza-granjeros-7724.html,0
Mexico Huatusco Mango Infusion,88.4,Carbonic Maceration + Fruit-fermented,Modern Hybrids,No,8.5,8.3,8.7,8.3,8.7,8.5,8.2,8.7,8,9.5,0,0,3,0,3,0,2.5,1,2.5,3.5,"Huatusco, Veracruz",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/mexico-huatusco-mango-infusion-7723.html,0
Mexico Organic Lagunilla Coop,86.4,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types",No,8.5,8.2,8.4,8.3,8.3,8.8,8,8.2,8.2,8,0,0,2.5,2.5,0,3,0,0,0,4,"Ixtlan de Juarez, Oaxaca",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/mexico-organic-lagunilla-coop-7722.html,0
Panama Dry Process Oscarcito Gesha,92.5,Dry Process (Natural),Gesha,No,8.5,9.2,9.4,8.6,9.3,8.8,9.2,9.5,8.3,9.7,4,3.5,4,0,2,0,1,0,2,3.5,"Jaramillo Arriba, Boquete",Raised Bed Sun Dried,City to City+ max,https://www.sweetmarias.com/panama-dry-process-oscarcito-gesha-7721.html,0
Brazil Café Condado SWP Decaf,85.5,Honey and Dry Process then SWP Decaf,Bourbon Types,Yes,9.5,7.8,8.3,7,8.3,8.3,7.4,7.9,7.5,9,0,0,2,1,0,2,2,2,0,3,Minas Gerais,Patio Sun-Dried + Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/brazil-cafe-condado-swp-decaf-6810.html,0
Burundi Kayanza SWP Decaf,88.3,Wet Process (Washed),Bourbon Types,Yes,9,8.5,8.7,8.3,8.6,8.5,8.3,8.2,8.5,8.7,0,0,3,1,0,0,0.5,2,1,3.5,Kayanza Province,Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/burundi-kayanza-swp-decaf-7765.html,0
Ethiopia FTO Oromia WP Decaf,88,Dry Process then SWP Decaf,Heirloom Types,No,9,8.2,8.5,8.1,8.6,9,8,8.5,8.3,8.8,0,1,3.5,0,0,0,1,2,0,4,"Sidama, Guji Zone",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/ethiopia-fto-oromia-wp-decaf-6868.html,0
Ethiopia Limu Boter Farm SWP Decaf,87.2,"Dry Process, then SWP Decaf",Heirloom Types,Yes,9.5,8.2,8.5,7.8,8.3,8.4,8.2,8.4,8.2,8.7,1,0,3,2,0,0,2,1,0,3.5,"Limmu Kossa, Jimma",Raised Bed Sun Dried,City+ to Full City+,https://www.sweetmarias.com/ethiopia-limu-boter-farm-swp-decaf-7549.html,0
Peru Chanchamayo SWP Decaf,86.2,"Wet Process, then SWP Decaf","Caturra Types, Typica Types, Modern Hybrids",Yes,9,8,8.2,8,8.3,8.5,8,8.2,8,8.5,0,0,2,3,0,0,2,1.5,0,3.5,Chanchamayo Province,Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/peru-chanchamayo-swp-decaf-7548.html,0
Rwanda Nyamasheke SWP Decaf,86.8,"Wet Process, then SWP Decaf",Bourbon Types,Yes,9.5,8,8.3,8,8.3,8.5,8,8.2,7.8,8.7,0,0,2,3,0,0,2,2.5,0,3.5,"Nyamasheke, Western Province",Raised Bed Sun-Dried,City+ to Full City,https://www.sweetmarias.com/rwanda-nyamasheke-swp-decaf-7547.html,0
Timorindo SWP Decaf Blend,86.8,"Wet Hulled, Honey Process, and Wet Process, then Water Process Decaf","Typica Types, Modern Hybrids",Yes,1,7.5,8.3,8.3,8.5,8.5,7.8,8.2,8,8.7,0,0,3,0,0,0,2.5,1,0,3.5,Timor-Leste and Indonesia,Patio and Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/timorindo-swp-decaf-blend-7383.html,0
Java Anaerobic Honey Gunung Patuha,88.2,"Anaerobic, then Honey Process",Modern Hybrids,Yes,8.2,8.5,8.7,8.5,9,9.2,8.2,8.5,8.2,9.2,0,0,3,0,2,0,1.5,0,2,4,"Gunung Patuha, Ciwidey",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/java-anaerobic-honey-gunung-patuha-7913.html,0
Java Pulp Natural Gambung Robusta,85.4,Pulp Natural,Robusta,Yes,8,7,7,7.3,7.5,1,7.3,6.8,6.5,1,0,0,1,0.5,0,3,5,0,0,5,"Gambung Pangkalan, West Java",Raised Bed Sun Dried,Full City to Vienna,https://www.sweetmarias.com/java-pulp-natural-gambung-robusta-7527.html,0
Java Sunda Ciwidey Gunung Nagara,87.2,Wet Process (Washed),"Typica Types, Modern Hybrids",Yes,8.5,8.5,8.7,8.5,8.7,9,8.5,8.7,8.5,8.6,1,0,3,3.5,0,0,0,0,0,4,"Gunung Nagara, Ciwidey",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/java-sunda-ciwidey-gunung-nagara-7520.html,0
Java Sunda Gunung Panenjoan,87,Wet Process (Washed),Modern Hybrids,Yes,9,8.5,8.6,8.5,8.5,8.8,8.2,8.6,8.2,8.6,0,0,3,0,1.5,1,2,2,3,4,"Mount Papandayan region, Bandung, West Java",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/java-sunda-gunung-panenjoan-7518.html,0
Java Sunda Gunung Tilu,86,Wet Process (Washed),"Typica Types, Modern Hybrids",Yes,8.3,8.2,8.5,8.5,8.5,8.5,7.7,8.4,7.8,8.6,0,0,3,3,0,2,2,1,0,3.5,"Tilu, Bandung, Sunda",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/java-sunda-gunung-tilu-7516.html,0
Java Sunda Kawah Kamojang,87.8,Wet Process (Washed),Modern Hybrids,Yes,9,8.5,8.7,8.7,8.8,8.5,8.5,8.7,8.7,8.7,1,0,3,2,1.5,0,0,0,2.5,3.5,"Gunung Mandalawangi and Gunung Kamojang, Garut, West Java",Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/java-sunda-kawah-kamojang-7519.html,0
Java Sunda Tambak Ruyung,87,Wet Process (Washed),"Typica Types, Modern Hybrids",Yes,8.7,8.3,8.6,8.4,8.7,8.9,8.4,8.5,8.5,8.5,1,0,3,3,0,0,0,2,0,4,"Tambak Ruyung, Ciwidey",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/java-sunda-tambak-ruyung-7515.html,0
Java Sunda Wet Hulled Pasir Ciparay,86.5,Wet Hulled (Giling Basah),Modern Hybrids,Yes,8,7.7,8.3,8.2,8.2,9.3,8,8.6,7.5,9.2,0,0,3.5,0,1,0,3.5,2,0,4.5,"Pasir Ciparay, Ciwidey",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/java-sunda-wet-hulled-pasir-ciparay-7521.html,0
